split,col,proxy_versions,count,mean,std,min,1%,10%,50%,90%,99%,max
train,niadj_at,v3,48458.0,-43.97562912852447,1304.4274844854915,-170332.25806451615,-807.3309531329287,-1.6214155658963794,7.614702560201925e-06,0.11538185338997649,73.94264514522017,39949.46236559142
train,nwc_at,"v1,v2,v3",48458.0,-14.580708525241105,550.6899056730362,-46098.838709677395,-450.25010504201714,-0.5048548548280135,0.09562126572507916,0.812597937675232,562.1126240932113,999.8107255520504
train,ocf_to_debt,v2,39624.0,-57.72053261459891,26438.582613774575,-1655499.9999999993,-1587.099250936329,-2.162434742655682,0.1272198198719875,2.7925455588563324,1138.05420725107,2564299.999999999
train,ppent_at,"v1,v2,v3",48458.0,19.44561777990799,105.51842328631656,0.0,0.0,5.3389350164260516e-05,0.1089350679956944,0.9230240179889555,701.7776243545156,998.360981424456
train,prstkc_at,"v1,v3",48458.0,1.1099723945993545,55.59822160621266,0.0,0.0,0.0,0.0,0.03539966013209827,13.083731684371596,11006.028938906751
train,re_at,"v1,v3",48458.0,-521.4574371284737,6582.496423522205,-443861.5384615386,-10882.099686379926,-21.677986085172098,-0.0397784411521421,0.44377574693300914,288.2634184275442,2461.3531367080773
train,rect_act,"v1,v2,v3",48458.0,20.229526185880818,150.51056022502118,0.0,0.0,0.00017028463611336905,0.27888050537992903,10.143576485629975,531.8452362316882,26294.90042806818
train,st_debt_share,"v1,v2",39624.0,0.33796329715527984,0.39006052530999175,0.0,0.0,0.0,0.13281082410262965,1.0,1.0,1.0
train,xint_at,"v1,v2,v3",48458.0,7.277215567014436,458.2935387042238,0.0,0.0,0.0,0.008199762472106409,0.2043352192609333,63.73570262428089,98900.00000000003
val,cash_at,"v1,v2,v3",6851.0,22.258116189407854,106.24550305336516,0.0,0.0,0.0014944800655642874,0.1470477362512531,0.9710144927536232,684.0063651144876,990.2113459399335
val,ceq_at,"v1,v3",6851.0,1.934044910955435,759.2789758419315,-36596.77419354841,-317.44143764261753,-0.023328922995501444,0.419610587296962,0.9628691426072471,859.1581423989861,993.7247418051196
val,current_ratio,"v1,v2,v3",6851.0,314.5038033799541,2319.457630659022,2.978517442942777e-06,0.0006099071148215496,0.11409395973154363,1.836887608069163,21.341538142532713,8686.013104965587,68365.88235294113
val,debt_at,"v1,v2",6851.0,32.76182121572928,487.5220967985883,0.0,0.0,3.885747753024125e-05,0.18489868942338578,2.032685216225274,582.5752632295795,36390.32258064514
val,debt_to_ebitda,"v1,v2",6846.0,339.700502138304,31856.593623580644,-1615632.7649054627,-1654.1448419054793,-2.9483360149976163,0.30139127555997314,12.560388158565747,5756.081250637057,1815360.2634785858
val,dlc_at,v1,6851.0,16.323043390737535,472.1618725342839,0.0,0.0,0.0,0.011513309791788388,0.4829134086301759,192.7623596264322,36390.32258064514
val,dltt_at,v1,6851.0,16.438777824991746,98.54384502906093,0.0,0.0,0.0,0.09863645114893711,0.7193911317008606,473.61834635598274,3801.0752688172074
val,ebit_to_capital,"v1,v2,v3",6850.0,-52.2534697645543,2979.6522393886607,-185500.00000000006,-40.036144553447855,-0.5918022677665903,0.023766072075477387,0.3126788432819092,11.490682411744622,25125.000000000004
val,ebitda_at,"v1,v2",6851.0,-37.10759695607541,1414.2670993484555,-112135.48387096771,-507.2675911658961,-0.7452966714905936,0.01605993918725956,0.2269589008984592,158.1616568814083,539.4120683183182
val,fcf_to_debt,v2,6257.0,-405.31278515836874,14407.631415047827,-481799.9999999997,-2018.4240930232552,-9.78539816268001,0.010160868775244934,1.451308697306338,220.912888888887,593824.7850748987
val,intan_at,"v1,v2,v3",6851.0,10.97524633527186,69.38366596313953,0.0,0.0,0.0,0.019050583323495004,0.6285271735470401,411.1757473830631,995.1219512195119
val,interest_coverage,"v1,v2",6091.0,-3886.423444679628,161296.58793525575,-6397699.999999994,-61631.36363636368,-169.12500000000006,2.98343685300207,99.27586206896554,32620.755512572818,3820800.000000003
val,invt_act,"v1,v2,v3",6851.0,9.02593369097284,60.977095059156966,0.0,0.0,0.0,0.013154443039325845,0.5223477715003138,352.7334587864833,951.8518518518517
val,ln_at,"v1,v2,v3",6851.0,11.295442475855616,3.516330284300454,-0.07257069283483537,0.0,6.822197390620491,11.740714210644164,15.323076529248908,17.737427833078236,17.74234588470021
